Look at this series: 80, 10, 70, 15, 60, ... What number should come next?, ,Text,Single,Average,Number Series ,20;25;30;50;,A
Look at this series: 2, 6, 18, 54, ... What number should come next?, ,Text,Single,Average,Number Series ,108;148;162;216;,C
Look at this series: 5.2, 4.8, 4.4, 4, ... What number should come next?, ,Text,Single,Average,Number Series ,3;3.3;3.5;3.6;,D
Look at this series: 8, 6, 9, 23, 87 , ... What number should come next?, ,Text,Single,Average,Number Series ,128;226;324;429;,D
Look at this series: 21, 9, 21, 11, 21, 13, 21, ... What number should come next?, ,Text,Single,Average,Number Series ,14;15;21;23;,B
Look at this series: 58, 52, 46, 40, 34, ... What number should come next?, ,Text,Single,Average,Number Series ,26;28;30;32;,B
Look at this series: 3, 4, 7, 8, 11, 12, ... What number should come next?, ,Text,Single,Average,Number Series ,7;10;14;15;,D
Look at this series: 8, 22, 8, 28, 8, ... What number should come next?, ,Text,Single,Average,Number Series ,9;29;32;34;,D
Look at this series: 31, 29, 24, 22, 17, ... What number should come next?, ,Text,Single,Average,Number Series ,15;14;13;12;,A
Look at this series: 80, 10, 70, 15, 60, ... What number should come next?, ,Text,Single,Average,Number Series ,20;25;30;50;,A
Look at this series: 1.5, 2.3, 3.1, 3.9, ... What number should come next?, ,Text,Single,Average,Number Series ,4.2;4.4;4.7;5.1;,C
Look at this series: 14, 28, 20, 40, 32, 64, ... What number should come next?, ,Text,Single,Average,Number Series ,52;56;96;128;,B
Look at this series: 2, 4, 6, 8, 10, ... What number should come next?, ,Text,Single,Average,Number Series ,11;12;13;14;,B
Look at this series: 201, 202, 204, 207, ... What number should come next?, ,Text,Single,Average,Number Series ,205;208;210;211;,D
Look at this series: 544, 509, 474, 439, ... What number should come next?, ,Text,Single,Average,Number Series ,404;414;420;445;,A
Which one is a valid declaration of a boolean?, ,Text,Single,Average,Language Fundamentals ,boolean b1 = 0;;boolean b2 = 'false';;boolean b3 = false;;boolean b4 = Boolean.false();;boolean b5 = no;;,C
Which three are valid declarations of a float?, ,Text,Single,Average,Language Fundamentals ,1, 2, 4;2, 3, 5;1, 3, 6;2, 4, 6;,C
Which is a valid declarations of a String?, ,Text,Single,Average,Language Fundamentals ,String s1 = null;;String s2 = 'null';;String s3 = (String) 'abc';;String s4 = (String) '\ufeed';;,A
What is the numerical range of a char?, ,Text,Single,Average,Language Fundamentals ,-128 to 127;-(2 to (2) - 1;0 to 32767;0 to 65535;,D
Which three are legal array declarations?, ,Text,Single,Average,Language Fundamentals ,1, 2, 4;2, 4, 5;2, 3, 4;All are correct.;,A
Which one of the following will declare an array and initialize it with five numbers?, ,Text,Single,Average,Language Fundamentals ,Array a = new Array(5);;int [] a = {23,22,21,20,19};;int a [] = new int[5];;int [5] array;;,B
Which three are valid declarations of a char?, ,Text,Single,Average,Language Fundamentals ,1, 2, 4;1, 3, 6;3, 5;5 only;,B
Which is the valid declarations within an interface definition?, ,Text,Single,Average,Language Fundamentals ,public double methoda();;public final double methoda();;static void methoda(double d1);;protected void methoda(double d1);;,A
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,guitar;flute;violin;cello;,B
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,dodge;flee;duck;avoid;,B
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,branch;dirt;leaf;root;,B
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,street;freeway;interstate;expressway;,A
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,heading;body;letter;closing;,C
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,tape;twine;cord;yarn;,A
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,leopard;cougar;elephant;lion;,C
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,couch;rug;table;chair;,B
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,cornea;retina;pupil;vision;,D
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,noun;preposition;punctuation;adverb;,C
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,book;index;glossary;chapter;,A
Which word does NOT belong with the others?, ,Text,Single,Easy,Verbal Classification ,unimportant;trivial;insignificant;familiar;,D
Which country to host the 23rd edition of the World Congress on Information Technology (WCIT-2019)?,null,Text,Single,Hard,CurrentAffairs,[A] Mexico ; [B] Brazil ; [C] Canada ; [D] Armenia, D
The Chandrapur Super Thermal Power Station (CSTPS) is located in which state?,null,Text,Single,Hard,CurrentAffairs,[A] Maharashtra ; [B] Madhya Pradesh ; [C] Tamil Nadu ; [D] Odisha, A
India has contributed how much amount of aid for rehabilitation work in cyclone-hit Tonga?,null,Text,Single,Hard,CurrentAffairs,[A] $2 million ; [B] $1.5 million ; [C] $1.0 million ; [D] $2.5 million, C
Billy Graham, the renowned Christian evangelist has passed away. He was related to which country?,null,Text,Single,Hard,CurrentAffairs,[A] France ; [B] United States ; [C] United Kingdom ; [D] South Africa, B
What is the theme of 7th edition of the Youth Festival 2018 in New Delhi?,null,Text,Single,Hard,CurrentAffairs,[A] Let Love Live ; [B] Let Unite for Nation ; [C] Let Save Trees ; [D] Let Help Nation, A
Suresh Seth, who passed away recently, was associated with which political party?,null,Text,Single,Hard,CurrentAffairs,[A] Bahujan Samaj Party ; [B] Bharatiya Janata Party ; [C] Indian National Congress ; [D] Nationalist Congress Party, C
India will co-host the first International Solar Alliance (ISA) summit with which country?,null,Text,Single,Hard,CurrentAffairs,[A] France ; [B] Germany ; [C] Japan ; [D] Canada, A
What is the theme of the 2018 International Mother Language Day (IMLD)?,null,Text,Single,Hard,CurrentAffairs,[A] Quality education, language(s) of instruction and learning outcomes ; [B] Inclusion in and through education: Language counts ; [C] Linguistic diversity and multilingualism count for sustainable development ; [D] Towards Sustainable Futures through Multilingual Education, C
The Telangana government has signed a technology partnership agreement with which country at the World Congress on Information Technology (WCIT) 2018?,null,Text,Single,Hard,CurrentAffairs,[A] Sri Lanka ; [B] Taiwan ; [C] Japan ; [D] Australia, B
 The India International Textiles Expo (IIT Expo) has started in which city?,null,Text,Single,Hard,CurrentAffairs,[A] New Delhi ; [B] Kathmandu ; [C] Kolkata ; [D] Colombo, B
Neelabh Mishra, who passed away recently, was associated with which field?,null,Text,Single,Hard,CurrentAffairs,[A] Sports ; [B] Law ; [C] Journalism ; [D] Film Industry, C
Kunwar Bai, the brand ambassador of Swachch Bharat has passed away. She was native of which state?,null,Text,Single,Hard,CurrentAffairs,[A] Chhattisgarh ; [B] Madhya Pradesh ; [C] Bihar ; [D] Rajasthan, A
The International Conference on Sustainable Biofuels (ICSB-2018) will be organized in which city?,null,Text,Single,Hard,CurrentAffairs,[A] Patna ; [B] Guwahati ; [C] New Delhi ; [D] Shillong, C
Which city hosted the 4th edition of Economic Times – Global Business Summit (ET-GBS 2018)?,null,Text,Single,Hard,CurrentAffairs,[A] Pune ; [B] New Delhi ; [C] Mumbai ; [D] Hyderabad, B
The Reserve Bank of India (RBI) has recently launched the Ombudsman Scheme for NBFCs. The NBFC Ombudsman will have office in which of the following cities?,null,Text,Single,Hard,CurrentAffairs,[A] Kolkata ; [B] Chennai ; [C] New Delhi ; [D] All of the above, D
India and signed how much amount of loan with Asian Development Bank (ADB) for improvement and expansion of water supply in Bihar?,null,Text,Single,Hard,CurrentAffairs,[A] $84 million ; [B] $68 million ; [C] $95 million ; [D] $111 million, A
Who authored the book “Hari Singh Nalwa: Champion of the Khalsaji – 1791-1837”?,null,Text,Single,Hard,CurrentAffairs,[A] Vanit Nalwa ; [B] Aravind Adiga ; [C] Chitra Banerjee Divakaruni ; [D] Rohinton Mistry, A
Aruna Budda Reddy has created history by becoming the first Indian gymnast to win an individual medal at the 2018 Gymnastics World Cup. She hails from which city?,null,Text,Single,Hard,CurrentAffairs,[A] Kochi ; [B] Hyderabad ; [C] Chennai ; [D] Kolkata, B
Which Indian sportsman has clinched the men’s singles title at the Austrian Open International Challenge badminton tournament?,null,Text,Single,Hard,CurrentAffairs,[A] Srikanth Kidambi ; [B] H. S. Prannoy ; [C] B. Sai Praneeth ; [D] Parupalli Kashyap, D
Which country to host the 2018 SAARC Business Leaders’ Conclave?,null,Text,Single,Hard,CurrentAffairs,[A] Nepal ; [B] Myanmar ; [C] India ; [D] Sri Lanka, A
What invention was first installed at a Hartford, Connecticut bank in 1889?, ,Text,Single,Hard,Inventions ,Automatic teller machine;Time-lock safe;Burglar alarm;Pay telephone;,D
Ralph Samuelson was only 18 when he invented this sporting item in 1922. What was that?, ,Text,Single,Hard,Inventions ,Golf tee;Motorboat;Water skis;Hang glider;,C
Who invented Bifocal Lens?, ,Text,Single,Hard,Inventions ,Alfred B. Nobel;Thomas Alva Edison;Benjamin Franklin;Rudolf Diesel;,C
What Karl Benz invented?, ,Text,Single,Hard,Inventions ,Gasoline powered automobile;Streetcar;Glider;Steam turbine;,A
When were bar code scanners invented?, ,Text,Single,Hard,Inventions ,1940s;1950s;1970s;1960s;,C
When was the game Frisbee invented?, ,Text,Single,Hard,Inventions ,1920s;1900s;1870s;1890s;,C
This English inventor is known as the 'Father of Computing.', ,Text,Single,Hard,Inventions ,Philo Farnsworth;J. Presper Eckert;John Mauchly;Charles Babbage;,D
Who invented Airship (rigid)?, ,Text,Single,Hard,Inventions ,Dr. Alan M. Turing;Roger Bacon;G. Ferdinand Von Zeppelin;Otto;,C
What piece of clothing was invented by French fashion designer Louis Reard in 1946?, ,Text,Single,Hard,Inventions ,Zoot suit;Mini-skirt;Bikini;Tank top;,C
In which year was MIDI introduced?, ,Text,Single,Hard,Inventions ,1987;1983;1973;1977;,B
In which decade was the SPICE simulator introduced?, ,Text,Single,Hard,Inventions ,1950s;1960s;1970s;1980s;,C
Who invented the first controllable flying AEROPLANE (AIRPLANE)?, ,Text,Single,Hard,Inventions ,Wright Brothers;Lidenbergh Brothers;South Brothers;West Brothers;,A
What groovy item was invented by Englishman Edward Craven Walker in 1963?, ,Text,Single,Hard,Inventions ,Leisure suit;Lava lamp;Eight-track tape deck;Hot comb;,B
In which decade was the Internet first implemented?, ,Text,Single,Hard,Inventions ,1940s;1950s;1960s;1980s;,C
What did cardiologist Dr. Paul Zoll invent in Massachusetts in 1952?, ,Text,Single,Hard,Inventions ,EKG;Artificial heart valve;Artificial heart;Pacemaker;,D
